X,Y
5.496714153,4.861735699
5.647688538,6.523029856
4.765846625,4.765863043
6.579212816,5.767434729
4.530525614,5.542560044
4.536582307,4.534270246
5.241962272,3.086719755
3.275082167,4.437712471
3.98716888,5.314247333
4.091975924,3.587696299
6.465648769,4.7742237
5.067528205,3.575251814
4.455617275,5.11092259
3.849006423,5.375698018
4.39936131,4.70830625
4.398293388,6.852278185
4.986502775,3.942289071
5.822544912,3.77915635
5.208863595,3.040329876
3.671813951,5.196861236
5.73846658,5.171368281
4.884351718,4.698896304
3.52147801,4.280155792
4.539361229,6.057122226
5.34361829,3.236959845
5.324083969,4.61491772
4.323078,5.611676289
6.030999522,5.931280119
4.160782477,4.690787624
5.331263431,5.975545127
4.520825762,4.814341023
3.893665026,3.803793376
5.812525822,6.356240029
4.927989878,6.003532898
5.361636025,4.354880245
5.361395606,6.538036566
4.964173961,6.564643656
2.380254896,5.821902504
5.087047068,4.70099265
5.091760777,3.012431085
4.780328112,5.357112572
6.477894045,4.481729782
4.191506397,4.498242956
5.915402118,5.32875111
4.470239796,5.513267433
5.097077549,5.968644991
4.297946906,4.672337853
4.607891847,3.536485052
5.296120277,5.261055272
5.005113457,4.765412867
3.584629258,4.579354677
4.657285483,4.197722731
4.838714288,5.404050857
6.886185901,5.174577813
5.257550391,4.925554084
3.081228785,4.973486125
5.06023021,7.463242112
4.807639035,5.301547342
4.96528823,3.831321962
6.142822815,5.751933033
5.791031947,4.090612545
6.402794311,3.598148937
5.586857094,7.190455626
4.009463675,4.43370227
5.099651365,4.496524346
3.449336569,5.068562975
3.937696286,5.473592431
4.080575766,6.549934405
4.216746708,4.677938484
5.813517217,3.769135684
5.227459935,6.307142754
3.392516765,5.184633859
5.259882794,5.781822872
3.763049289,3.679543387
5.521941566,5.296984673
5.25049285,5.346448209
4.319975278,5.232253697
5.293072473,4.285648582
6.865774511,5.473832921
3.808696503,5.656553609
4.02531833,5.787084604
6.158595579,4.179317682
5.963376129,5.412780927
5.82206016,6.896792983
4.754611884,4.246263836
4.11048557,4.184189715
4.922898291,5.341151975
5.276690799,5.827183249
5.013001892,6.453534077
4.735343167,7.720169167
5.625667348,4.142842444
3.929107502,5.482472415
4.776537215,5.714000494
5.473237625,4.927171087
4.153206282,3.485152775
4.553485048,5.856398794
5.214093744,3.754261221
5.173180926,5.38531738
4.116142564,5.153725106
5.058208718,3.857029702
15.35778736,15.56078453
16.08305124,16.05380205
13.62233063,14.06217496
15.51503527,15.51378595
15.51504769,18.85273149
15.57089051,16.13556564
15.95400176,15.65139125
14.68473076,15.75896922
14.22717479,14.76318139
14.51463645,15.08187414
17.31465857,13.13273481
15.68626019,13.38728413
14.52806813,16.0889506
15.06428002,13.92225522
14.28469629,15.67959775
14.26963337,15.21645859
15.04557184,14.34839965
17.14394409,15.63391902
12.97485741,15.18645431
14.33821354,15.85243333
14.20747926,14.88526356
15.50498728,15.86575519
13.79970359,14.66549876
14.52505469,14.34667077
16.76545424,15.40498171
13.73911605,15.91786195
17.1221562,16.03246526
13.48063003,14.51576593
16.26691115,14.29233053
15.44381943,15.77463405
14.07306953,14.94047464
11.75873266,13.97561236
14.74743185,13.75221682
16.6324113,13.56985862
14.55995551,15.13074058
16.44127329,13.56413785
16.16316375,15.01023306
14.01849135,15.46210347
15.1990597,14.39978312
15.06980208,14.6146864
15.11351735,15.66213067
16.58601682,13.7621845
17.13303337,13.0479122
14.8482149,15.58831721
15.28099187,14.37730048
14.79187775,14.50699907
14.41063524,15.8496021
15.35701549,14.3070904
15.89959988,15.30729952
15.81286212,15.62962884
14.17100499,14.43981896
15.74729361,15.61037027
14.97909841,15.11732738
16.2776649,14.40842861
15.54709738,14.79780735
14.7823188,16.09877685
15.82541635,15.81350964
16.30547881,15.02100384
15.68195297,14.68973324
15.32416635,14.86985695
15.09699596,15.59515703
14.18177932,17.09238728
13.99398262,13.78581139
16.15811087,15.79166269
15.62411982,15.62834551
14.98775323,14.10274563
15.07580456,14.32283829
15.97511973,14.85294262
14.1745028,14.67861416
15.41293145,14.43627545
14.1777796,15.24368721
15.24496657,14.49305682
14.52896169,15.23204994
13.55191566,13.59253623
14.28155578,14.78655285
15.31090757,16.47535622
15.85765962,14.84006147
14.98098379,13.99747064
14.98148686,14.71134136
15.32271856,14.17276906
15.51934651,16.53273891
14.89123985,15.40171172
15.69014399,14.59877953
15.22409248,15.0125924
15.0976761,14.22699022
15.02451017,15.49799829
16.45114361,15.95927083
17.15318246,14.23265244
15.87232064,15.18334201
17.18980293,14.19170171
14.16027816,14.40060735
12.87610428,14.47424498
14.24086734,15.15039379
15.34175598,16.87617084
15.95042384,14.42309634
14.10158533,15.49191917
13.67976679,16.83145877
16.17944012,14.53082435
13.28686547,16.35387237
14.88546015,16.23781631
8.405572341,24.40062498
10.0052437,25.04698059
9.549934529,25.62284993
8.932379571,24.85762051
10.12029563,25.51443883
10.71161488,23.87535791
8.465885829,26.27767682
10.33231401,24.25151346
11.55115198,25.11567463
11.17929718,25.06751848
12.06074792,26.75534084
9.751035852,25.97157095
10.64537595,26.36863156
9.035076539,25.68605146
11.05842449,23.24126051
8.816741487,22.96076782
9.730593166,25.71754226
11.50235705,25.07409478
11.62861555,23.61989854
8.296617561,24.9444523
10.38406545,24.96730525
7.9325579,24.91087996
8.695530499,25.66967255
10.36659825,24.06012021
9.486133083,23.94078648
9.937320903,25.95514232
9.014273954,25.50404652
9.469742382,24.20712717
9.89296964,23.96475768
9.446350695,23.80212211
11.96472513,25.03526355
9.300274492,25.21397991
9.88767195,24.7790304
10.6141667,25.75750771
9.469498852,24.42418176
9.724948303,22.69807884
8.484808938,26.36687427
11.64496771,24.75096396
10.57655696,25.31125015
13.07888081,26.11957491
9.872082409,24.04445956
8.39355368,25.20346364
9.243649255,23.57774629
9.353427116,23.918452
11.68714164,25.88163976
9.992027359,26.47994414
10.07736831,24.1387158
11.52312408,25.53891004
8.962753846,24.80966132
9.124381747,23.61720027
10.92617755,26.90941664
8.601432426,25.56296924
9.349357431,24.51287462
9.407606076,24.13600923
10.04852163,24.16904988
10.27045683,24.94976189
9.761051953,24.09243634
9.423228669,25.75539123
10.50091719,24.02244476
10.09933231,25.75138712
8.330594719,25.54336019
9.337376241,25.57059867
9.236740843,23.1951179
8.372457562,25.04808495
10.2597225,24.09568337
10.63859246,23.33847994
9.933920201,23.7889838
9.348163892,25.04739867
9.139586635,24.61544446
11.00629281,24.42310813
10.83569211,23.87029315
10.52980418,26.44156862
7.5283555,24.20310474
10.57707213,24.79695461
10.37114587,24.39601481
10.08658979,24.84432276
11.16778206,25.25442084
10.33760266,24.58812303
9.512393776,24.56744181
10.39445214,24.57901552
10.28977486,27.0754008
10.8711247,24.67397647
11.20121392,24.59192463
7.961875465,23.99191369
8.129208079,24.64848652
10.01841838,26.67643731
10.32692737,24.78089947
10.82940558,22.78886469
10.23561456,25.77086519
8.521413754,26.14375404
10.33849641,24.58471209
10.63278187,27.27069286
10.18186626,25.24822059
9.5406391,24.15015563
10.83033582,24.14391617
10.07156624,24.52234255
10.47897983,25.33366211
11.03753994,24.4899836
9.730125065,24.02123628
9.55570674,25.37730049
6.877541857,21.66757705
21.6010961,19.23442899
20.81845333,16.2817333
7.553971767,10.37087981
5.447931504,27.25351684
17.50175384,12.0255425
13.86017411,28.41850019
4.600542093,17.58689496
15.17666037,18.34362706
0.5433055146,26.16371727
